N,K,T,num_particles,seed,bf_time,pf_time,bf_rmse_f,bf_corr_f,bf_rmse_h,bf_corr_h,pf_rmse_f,pf_corr_f,pf_rmse_h,pf_corr_h,error,bf_rmse_f_mean,bf_rmse_h_mean,bf_corr_f_mean,bf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean,pf_corr_f_mean,pf_corr_h_mean
50,2,1000,,50200,0.6371629238128662,,[0.39458414 0.30695815],[0.97862287 0.99041725],[0.07455641 0.07591858],[2.95603783e-16            nan],,,,,,0.3507711432462748,0.0752374964265167,0.9845200592289669,,,,,
50,2,1000,,50201,0.6230576038360596,,[0.2578058  0.32956894],[0.97104325 0.97998126],[0.15108943 0.13061802],[2.06869231e-15 1.36252690e-17],,,,,,0.2936873673759872,0.14085372511475738,0.9755122557494988,1.0411587897784129e-15,,,,
50,2,1000,,50202,0.6623497009277344,,[0.33576093 0.3209648 ],[0.980216   0.98458029],[0.10973433 0.05230139],[           nan -8.2367483e-16],,,,,,0.32836286550745974,0.08101786162630577,0.9823981460500133,,,,,
50,2,1000,1000.0,51200,,1.0400094985961914,,,,,[0.17731403 0.19374814],[0.97923965 0.96337622],[0.2766689  0.11233088],[ 0.05232108 -0.02221285],,,,,,0.1855310839014606,0.1944998882615283,0.9713079340392614,0.015054110769235497
50,2,1000,1000.0,51201,,0.9852569103240967,,,,,[0.21807737 0.21841957],[0.93626131 0.96708827],[0.12054744 0.07522911],[-0.00100574 -0.05945077],,,,,,0.2182484696549159,0.09788827610704272,0.9516747884293606,-0.03022825604556183
50,2,1000,1000.0,51202,,1.2740747928619385,,,,,[0.20152656 0.23785869],[0.98194502 0.97332032],[0.34960001 0.48697804],[0.06160287 0.0996182 ],,,,,,0.21969262572960344,0.4182890257884564,0.9776326723942623,0.08061053898937279
50,2,1000,10000.0,60200,,6.133858680725098,,,,,[0.15791331 0.16299217],[0.97079374 0.97707593],[0.30849953 0.12978937],[0.09290613 0.02032977],,,,,,0.1604527382195912,0.21914445240222324,0.97393483496962,0.05661794949044349
50,2,1000,10000.0,60201,,4.662793159484863,,,,,[0.21273433 0.22241543],[0.9915803  0.97313412],[0.0820257 0.0856149],[0.0665859  0.03600454],,,,,,0.21757487790007313,0.08382030023329601,0.9823572101247896,0.051295219767293974
50,2,1000,10000.0,60202,,4.226728200912476,,,,,[0.19757176 0.16790705],[0.99358684 0.97924167],[0.19786036 0.06940604],[0.01425852 0.05087121],,,,,,0.18273940448531795,0.13363319994009892,0.9864142545463591,0.03256486143287088
50,3,1000,,50300,0.6165361404418945,,[0.39774747 0.40888612 0.33092985],[0.97483427 0.97391497 0.97485285],[0.09914817 0.15966086 0.11012717],[            nan -5.61508625e-17  8.97253135e-17],,,,,,0.3791878146420608,0.12297873237968017,0.9745340293102958,,,,,
50,3,1000,,50301,0.8321754932403564,,[0.27214168 0.28510897 0.4272171 ],[0.97370924 0.97495492 0.96371832],[0.16676553 0.14006715 0.15271151],[-9.18742819e-17             nan -2.46455465e-16],,,,,,0.3281559161642755,0.15318139654857757,0.9707941573941973,,,,,
50,3,1000,,50302,0.7605726718902588,,[0.24351679 0.24164116 0.21863819],[0.96085573 0.96295373 0.97095517],[0.20240601 0.18966539 0.27015254],[-0.07753865  0.03214449 -0.10168393],,,,,,0.2345987131176185,0.22074131627244442,0.9649215472973199,-0.04902602889448116,,,,
